clienti_ID,prodotto_ID,quantita,data
4618,7,84,2025-07-16
4395,8,5,2025-09-20
2189,7,8,2025-09-09
825,2,19,2025-11-23
980,1,20,2025-01-18
2234,11,68,2025-10-17
1372,10,54,2025-04-04
4934,14,76,2025-03-04
4207,18,32,2025-04-21
1622,3,83,2025-02-25
3387,8,12,2025-10-28
187,9,80,2025-10-09
2954,8,7,2025-05-30
1585,15,82,2025-07-30
1118,3,54,2025-10-06
1602,9,66,2025-12-16
3231,11,97,2025-07-11
2285,13,81,2025-08-10
728,3,22,2025-05-07
1279,3,68,2025-06-20
2061,5,59,2025-09-10
3748,13,36,2025-11-14
2929,9,48,2025-09-22
345,6,35,2025-11-25
4882,1,98,2025-10-04
3174,3,32,2025-05-19
2436,6,60,2025-05-24
2400,10,28,2025-11-07
1395,15,11,2025-03-29
2471,16,43,2025-08-24
1578,10,1,2025-07-03
2463,4,37,2025-08-18
3731,15,82,2025-01-18
4987,8,29,2025-05-26
3408,10,20,2025-04-19
1880,15,66,2025-03-15
3686,14,14,2025-08-06
287,7,90,2025-09-02
4956,19,53,2025-05-28
1871,13,27,2025-10-27
2946,5,80,2025-12-18
4364,2,78,2025-10-01
1806,6,22,2025-01-01
3478,14,74,2025-03-04
348,17,41,2025-10-14
866,12,37,2025-07-21
2936,14,94,2025-02-17
4520,17,80,2025-05-13
1501,7,80,2025-06-17
3635,17,52,2025-11-30
4365,4,36,2025-07-09
2813,3,55,2025-06-20
2206,16,94,2025-04-30
3690,2,36,2025-08-21
2828,17,86,2025-09-16
4843,11,73,2025-03-18
210,19,41,2025-02-28
794,2,17,2025-08-21
3786,1,12,2025-04-14
1698,1,32,2025-02-20
3665,16,27,2025-02-01
2461,16,31,2025-01-15
707,8,27,2025-01-12
130,15,13,2025-09-07
2769,10,89,2025-12-04
2875,12,8,2025-04-03
1078,4,97,2025-06-13
1143,3,12,2025-05-07
1048,15,33,2025-03-18
2808,14,15,2025-05-27
4283,10,35,2025-11-24
790,1,74,2025-03-06
4319,7,46,2025-09-05
1941,17,7,2025-03-10
2907,3,62,2025-02-28
1740,13,63,2025-05-14
2065,10,68,2025-07-13
4982,19,26,2025-10-19
990,3,35,2025-03-06
2055,10,62,2025-01-04
749,18,10,2025-04-05
3260,7,35,2025-07-13
4605,2,44,2025-01-11
3659,4,12,2025-10-06
953,3,85,2025-05-27
2002,14,71,2025-04-06
4756,6,34,2025-02-07
1529,2,69,2025-07-28
2696,8,47,2025-08-11
3588,7,78,2025-12-03
2812,8,9,2025-03-10
1788,16,70,2025-01-19
2,4,58,2025-01-13
3714,19,27,2025-07-09
773,17,89,2025-07-31
2238,14,92,2025-08-30
4160,10,70,2025-10-09
2379,3,11,2025-06-20
1394,7,91,2025-05-14
463,9,7,2025-01-13
943,1,37,2025-03-25
2641,7,81,2025-04-16
3700,19,30,2025-07-24
246,5,48,2025-05-15
2459,2,2,2025-12-18
437,6,3,2025-09-03
1153,7,16,2025-08-15
1955,5,95,2025-06-08
3755,13,60,2025-10-18
3836,11,28,2025-05-25
3884,10,49,2025-01-08
598,13,24,2025-07-07
82,1,49,2025-10-08
1362,17,42,2025-01-09
4768,18,99,2025-07-09
1106,15,90,2025-03-28
905,15,32,2025-03-28
1563,11,94,2025-10-02
4569,16,73,2025-06-04
4969,11,5,2025-10-21
1903,2,1,2025-11-23
4595,13,53,2025-09-04
2208,6,46,2025-05-31
381,9,76,2025-03-02
2295,13,55,2025-03-11
2669,9,27,2025-12-26
1873,1,30,2025-07-20
435,6,21,2025-11-12
1423,6,16,2025-01-28
2718,16,1,2025-12-10
262,13,97,2025-05-27
380,17,40,2025-09-17
2431,14,97,2025-01-21
3055,9,92,2025-02-08
1779,7,7,2025-07-19
2381,15,54,2025-02-16
1816,17,49,2025-08-04
587,16,89,2025-06-04
1623,16,53,2025-01-30
4463,2,81,2025-09-08
3583,1,59,2025-02-28
761,17,55,2025-06-28
3862,1,93,2025-01-19
3699,14,37,2025-10-14
343,8,50,2025-06-13
346,2,45,2025-03-05
544,6,86,2025-07-02
4174,9,67,2025-02-19
1669,19,3,2025-01-23
412,3,77,2025-01-25
3752,14,54,2025-09-05
3917,13,65,2025-04-20
3776,19,56,2025-01-14
2953,10,11,2025-02-17
733,13,23,2025-05-21
1446,19,59,2025-08-19
4066,9,38,2025-01-12
3626,4,75,2025-06-23
2137,14,18,2025-10-14
361,10,21,2025-08-23
1325,15,85,2025-10-04
75,14,97,2025-02-05
4949,17,47,2025-10-27
1754,17,6,2025-03-17
1150,11,47,2025-04-07
2672,12,96,2025-12-01
4563,14,26,2025-11-07
2580,16,88,2025-10-15
3756,14,7,2025-01-07
772,9,52,2025-03-08
356,5,79,2025-05-26
1645,16,80,2025-09-24
1816,17,91,2025-01-27
202,7,93,2025-08-17
39,10,7,2025-05-25
4589,13,84,2025-06-30
585,18,61,2025-04-09
1138,6,10,2025-01-15
2873,18,51,2025-03-12
721,4,27,2025-08-08
404,17,12,2025-12-05
3641,2,32,2025-02-11
3732,17,44,2025-09-30
4584,2,16,2025-08-26
218,11,42,2025-04-09
2550,13,7,2025-03-01
3268,14,58,2025-11-10
4584,3,42,2025-08-01
2420,14,63,2025-01-31
4784,9,8,2025-06-25
3232,10,95,2025-01-28
283,6,82,2025-03-01
4124,15,65,2025-03-27
1749,6,5,2025-01-01
3785,8,35,2025-01-19
255,6,27,2025-11-13
3439,18,20,2025-11-10
815,19,16,2025-02-15
3968,11,64,2025-11-23
4453,5,44,2025-08-04
2354,16,38,2025-08-06
423,3,33,2025-10-09
3138,2,40,2025-04-28
3925,3,94,2025-04-28
110,1,88,2025-02-04
2902,4,85,2025-05-02
2602,7,44,2025-12-17
599,13,70,2025-08-15
2546,1,46,2025-01-02
4951,11,51,2025-04-18
2345,19,35,2025-01-04
3384,13,90,2025-12-14
1372,8,34,2025-08-12
3811,3,28,2025-12-05
4073,9,75,2025-06-21
3999,11,99,2025-02-24
2590,15,17,2025-04-22
3800,14,17,2025-01-19
3251,19,95,2025-01-27
2655,1,39,2025-10-25
3934,12,59,2025-05-17
2249,13,3,2025-09-23
2080,3,72,2025-09-15
1776,11,66,2025-04-01
1119,10,93,2025-05-26
58,1,70,2025-08-28
2530,18,14,2025-04-06
1999,3,58,2025-01-20
3088,9,42,2025-08-20
2250,17,80,2025-08-09
3523,11,73,2025-05-03
2778,3,51,2025-03-14
3228,15,41,2025-03-22
1979,10,48,2025-05-28
1991,8,2,2025-01-17
4813,6,28,2025-02-21
1224,7,75,2025-12-03
4932,13,50,2025-05-18
118,16,79,2025-12-17
2960,19,28,2025-06-20
3320,11,16,2025-02-06
4634,11,38,2025-03-25
1990,11,31,2025-12-03
2834,18,77,2025-06-19
1132,16,52,2025-09-08
1522,10,95,2025-07-03
3333,12,72,2025-12-26
549,3,97,2025-12-28
1697,12,13,2025-09-03
2649,6,64,2025-04-04
1586,11,85,2025-05-08
44,17,42,2025-01-11
2128,9,81,2025-07-02
4312,8,64,2025-03-10
1570,9,15,2025-01-23
3007,15,75,2025-01-28
3887,5,6,2025-01-30
149,12,49,2025-06-02
2771,18,50,2025-06-07
1666,19,23,2025-09-10
1652,2,81,2025-11-19
649,17,78,2025-11-29
1431,17,73,2025-01-12
496,15,54,2025-08-25
698,5,57,2025-04-14
4618,9,43,2025-09-07
2211,9,78,2025-03-29
639,18,85,2025-10-10
4365,11,10,2025-01-14
156,15,59,2025-04-11
894,5,48,2025-02-01
1949,7,30,2025-01-28
4426,5,79,2025-04-14
2108,15,84,2025-08-27
1700,16,62,2025-08-20
4563,1,93,2025-01-25
1786,7,93,2025-01-20
100,14,43,2025-11-29
3502,8,26,2025-12-01
2878,8,54,2025-08-29
519,6,89,2025-11-16
3351,18,56,2025-05-18
4121,7,91,2025-09-03
4855,16,45,2025-09-05
1616,8,60,2025-03-29
3058,10,26,2025-06-14
4191,12,30,2025-04-04
1312,5,76,2025-11-14
3903,4,18,2025-11-29
3613,19,38,2025-02-16
865,13,63,2025-05-30
2660,14,75,2025-05-22
1508,14,61,2025-01-22
2911,7,86,2025-11-17
1212,12,53,2025-12-29
3607,14,35,2025-10-29
3528,9,71,2025-01-27
4063,1,32,2025-02-09
1085,16,2,2025-04-22
416,10,27,2025-05-20
152,17,3,2025-05-27
2759,3,69,2025-11-11
4030,3,86,2025-05-18
3147,13,33,2025-02-04
4093,17,76,2025-06-07
2314,12,55,2025-07-31
4297,5,48,2025-12-06
2351,1,46,2025-03-28
1773,14,93,2025-05-27
1332,19,21,2025-03-03
2659,10,23,2025-02-05
3174,14,90,2025-08-09
1608,10,90,2025-02-03
759,13,11,2025-08-22
3142,5,97,2025-09-26
1487,19,97,2025-01-03
2877,11,85,2025-08-11
416,11,79,2025-03-17
2196,8,23,2025-04-27
4354,3,34,2025-04-25
774,9,61,2025-01-25
3967,10,98,2025-08-22
4522,14,1,2025-11-18
4645,5,30,2025-12-22
3016,9,65,2025-12-14
2139,9,82,2025-06-21
4342,9,36,2025-08-09
1277,19,30,2025-01-26
2541,19,55,2025-11-18
4056,11,42,2025-02-02
3209,5,88,2025-04-10
2247,19,45,2025-11-28
2251,3,48,2025-08-13
2524,3,5,2025-07-28
399,14,81,2025-06-15
1882,15,4,2025-11-09
1624,9,55,2025-01-31
1406,6,53,2025-12-19
4076,6,73,2025-01-01
3685,14,41,2025-09-26
2412,17,36,2025-10-06
3753,6,77,2025-05-22
2464,11,31,2025-04-13
2957,4,98,2025-05-19
1709,19,61,2025-02-27
3166,13,67,2025-05-26
2234,19,96,2025-04-28
580,3,74,2025-03-17
3934,14,82,2025-12-23
2247,17,25,2025-10-23
3871,6,26,2025-12-02
1793,13,96,2025-03-31
3821,14,64,2025-08-31
2554,14,50,2025-06-12
3347,19,91,2025-05-28
2548,10,44,2025-10-27
2168,4,77,2025-01-01
4055,7,13,2025-05-02
994,11,13,2025-03-16
2914,4,67,2025-12-27
2147,15,52,2025-03-26
2396,3,3,2025-12-10
4669,10,82,2025-07-07
2008,4,12,2025-03-08
2404,8,87,2025-02-17
950,16,82,2025-04-20
2293,4,39,2025-07-21
3758,17,82,2025-10-23
2718,1,97,2025-12-25
4375,12,17,2025-09-21
4388,15,9,2025-12-22
3756,3,47,2025-07-17
381,11,47,2025-05-28
609,4,98,2025-10-11
472,3,78,2025-06-06
2201,9,95,2025-05-23
2239,6,81,2025-10-03
184,18,90,2025-12-04
874,17,29,2025-05-26
2063,8,93,2025-12-03
1985,13,47,2025-05-06
4749,13,78,2025-05-30
2609,4,42,2025-10-14
62,10,34,2025-01-28
4501,6,30,2025-04-10
1984,18,43,2025-03-09
4036,3,71,2025-02-28
1479,11,93,2025-09-03
4155,3,99,2025-10-29
444,19,63,2025-03-15
535,2,21,2025-10-09
1285,16,49,2025-04-15
3779,5,33,2025-01-12
1222,11,2,2025-12-14
3850,2,91,2025-01-17
4627,4,25,2025-01-15
4362,16,60,2025-05-08
4880,16,4,2025-03-24
1721,14,5,2025-07-31
3563,18,39,2025-04-07
3897,13,69,2025-05-09
3782,5,63,2025-12-29
65,14,78,2025-03-03
2623,3,15,2025-09-29
401,16,46,2025-06-04
239,6,57,2025-09-04
1847,17,21,2025-04-01
4963,1,21,2025-01-02
4583,13,50,2025-02-15
1257,19,88,2025-02-15
2221,2,5,2025-08-29
4556,16,24,2025-10-29
3745,14,98,2025-09-23
1687,18,11,2025-02-16
3855,16,16,2025-05-21
2180,3,27,2025-05-02
3489,19,13,2025-11-09
1017,9,69,2025-03-03
4799,3,18,2025-09-23
1750,1,68,2025-06-21
4589,2,39,2025-02-26
1997,3,88,2025-02-03
3474,12,65,2025-10-03
3543,1,3,2025-04-28
2189,17,81,2025-09-12
4287,10,54,2025-12-12
2013,7,58,2025-12-28
4147,19,40,2025-12-30
1495,6,9,2025-06-18
4592,13,43,2025-01-24
3201,17,27,2025-02-12
2082,14,22,2025-07-12
333,1,33,2025-09-01
2027,19,88,2025-01-28
1740,11,2,2025-06-27
411,16,64,2025-01-09
955,7,56,2025-02-04
158,5,52,2025-11-14
371,14,26,2025-02-01
2871,17,88,2025-11-27
4623,5,17,2025-09-24
4843,11,51,2025-11-11
815,6,13,2025-06-29
3708,10,4,2025-12-06
4500,9,1,2025-01-11
2628,14,36,2025-10-27
1345,7,33,2025-02-03
3492,13,73,2025-03-11
402,7,69,2025-05-13
548,17,88,2025-12-12
4730,1,75,2025-07-01
2482,15,44,2025-10-11
3718,5,76,2025-06-15
4853,12,12,2025-02-11
16,4,36,2025-12-28
4291,6,42,2025-12-12
2101,13,26,2025-04-15
2477,11,92,2025-11-29
182,17,79,2025-06-23
3786,19,2,2025-11-19
1515,2,65,2025-06-15
3242,19,5,2025-08-29
4207,17,47,2025-06-21
3965,5,61,2025-04-02
1475,4,26,2025-09-25
625,2,92,2025-05-02
717,11,29,2025-06-23
4858,6,43,2025-12-07
1045,14,43,2025-06-23
569,4,5,2025-09-13
3856,11,82,2025-09-13
3350,1,84,2025-08-15
3262,12,13,2025-04-20
3894,6,10,2025-05-02
3410,11,94,2025-06-25
1234,7,54,2025-12-26
4735,1,86,2025-02-21
367,7,90,2025-06-23
1776,3,90,2025-08-06
2916,5,7,2025-03-26
3453,12,27,2025-07-01
4382,3,88,2025-05-17
246,19,58,2025-02-12
2306,17,62,2025-07-12
3632,17,64,2025-04-17
3344,8,9,2025-02-09
3767,6,85,2025-09-27
2879,12,83,2025-03-31
2032,6,20,2025-07-06
3852,3,81,2025-11-15
1086,6,79,2025-03-31
554,9,94,2025-03-10
1369,15,55,2025-08-21
1841,19,15,2025-08-19
637,12,18,2025-09-22
2467,4,91,2025-09-05
2952,15,23,2025-11-26
416,2,15,2025-11-11
3282,16,10,2025-02-04
4179,13,69,2025-08-03
1999,13,39,2025-04-09
2298,15,32,2025-08-15
3796,15,65,2025-04-09
4383,6,6,2025-08-09
4428,8,36,2025-12-02
989,1,50,2025-12-16
1511,8,31,2025-11-07
1089,19,93,2025-03-30
710,7,51,2025-08-16
3131,14,41,2025-01-04
509,19,53,2025-05-31
3730,19,18,2025-08-18
4687,19,8,2025-11-10
2930,14,20,2025-01-23
558,3,10,2025-08-15
4272,10,41,2025-10-30
4996,16,22,2025-04-02
140,15,76,2025-02-15
3149,1,56,2025-01-29
1013,6,18,2025-03-07
2831,13,43,2025-05-24
258,15,50,2025-01-25
1080,16,63,2025-08-30
3494,4,35,2025-09-27
2433,10,68,2025-09-03
70,1,12,2025-06-16
1435,11,69,2025-07-07
3702,6,48,2025-06-18
4674,4,93,2025-01-05
2445,19,16,2025-06-29
2150,16,38,2025-09-16
2205,13,78,2025-05-13
1661,19,6,2025-02-11
617,15,68,2025-08-02
3478,10,60,2025-02-26
3887,10,7,2025-03-04
1877,13,73,2025-09-21
285,19,84,2025-02-05
746,9,20,2025-02-11
3026,6,16,2025-05-25
4725,3,36,2025-10-13
1791,19,87,2025-02-20
1978,4,65,2025-07-21
1349,7,60,2025-02-21
1191,14,11,2025-05-20
1305,7,23,2025-07-08
1343,16,28,2025-01-22
703,5,12,2025-03-25
1550,3,73,2025-08-31
2150,3,48,2025-04-07
914,3,46,2025-07-03
1292,8,84,2025-02-14
2423,14,79,2025-06-29
1904,5,9,2025-05-13
2797,10,63,2025-05-31
4752,10,56,2025-06-29
248,17,70,2025-03-09
2234,17,92,2025-03-29
3334,10,96,2025-10-30
4495,17,92,2025-04-08
2782,3,75,2025-11-06
3716,17,81,2025-10-13
3093,19,87,2025-01-27
1517,6,34,2025-12-30
4375,5,72,2025-12-05
2680,16,85,2025-12-30
3149,1,8,2025-12-31
1598,13,45,2025-10-18
1751,5,70,2025-05-07
2630,4,67,2025-12-11
2373,3,56,2025-07-19
3721,7,48,2025-10-12
4596,12,2,2025-06-11
1898,13,13,2025-11-24
365,6,47,2025-06-07
430,7,43,2025-01-20
4341,14,27,2025-03-24
2620,17,40,2025-07-05
2950,12,7,2025-02-15
1049,14,90,2025-03-11
2388,15,10,2025-02-16
3236,10,8,2025-06-17
1359,13,36,2025-01-24
1498,7,22,2025-12-29
3835,7,97,2025-05-26
319,12,95,2025-11-17
2228,10,14,2025-10-17
1485,1,73,2025-01-02
3661,9,77,2025-12-28
2855,18,43,2025-10-30
4127,10,62,2025-12-06
3713,10,20,2025-02-12
646,18,32,2025-03-09
3386,13,93,2025-02-02
2449,12,88,2025-04-02
1502,13,45,2025-09-05
678,18,68,2025-07-17
2257,15,78,2025-10-18
316,15,68,2025-10-04
3092,10,96,2025-07-06
2836,12,28,2025-06-04
4663,8,71,2025-03-30
766,7,95,2025-01-13
710,12,87,2025-01-12
342,12,10,2025-10-22
4317,12,69,2025-12-10
1525,1,5,2025-07-27
2715,10,59,2025-01-04
2378,18,8,2025-05-29
4434,1,20,2025-06-21
1487,4,12,2025-09-01
4473,10,93,2025-06-02
3098,15,40,2025-10-02
1579,17,92,2025-01-06
692,18,80,2025-07-06
56,7,55,2025-03-12
316,3,82,2025-03-02
612,9,28,2025-10-03
1071,3,5,2025-07-13
12,4,84,2025-09-07
538,11,99,2025-12-23
72,17,19,2025-12-28
91,18,9,2025-12-18
86,4,81,2025-10-30
484,5,50,2025-04-04
1418,2,54,2025-12-16
1693,17,4,2025-12-22
3590,1,68,2025-02-07
2456,5,91,2025-01-31
2145,18,10,2025-10-15
748,4,77,2025-04-25
941,1,91,2025-07-31
3370,19,45,2025-01-04
3107,18,49,2025-05-10
1309,1,75,2025-12-20
3902,9,63,2025-06-10
3002,19,55,2025-08-16
3320,18,19,2025-10-29
2132,12,15,2025-10-09
2333,1,88,2025-12-07
2187,8,26,2025-08-05
769,11,55,2025-12-03
2466,14,54,2025-06-23
1339,18,10,2025-02-12
1785,2,63,2025-03-20
2039,5,2,2025-07-31
3637,13,17,2025-07-05
3292,3,26,2025-12-11
669,12,96,2025-05-20
7,8,81,2025-08-12
878,4,76,2025-08-21
2552,11,68,2025-05-19
201,13,39,2025-03-30
4908,13,46,2025-03-23
120,15,91,2025-03-04
4596,13,67,2025-12-24
1862,11,58,2025-09-11
2981,13,3,2025-11-14
1643,7,90,2025-08-09
1583,5,47,2025-04-10
2667,2,56,2025-07-31
2037,16,2,2025-10-03
3649,17,56,2025-06-15
4090,5,52,2025-08-21
4622,9,63,2025-07-06
2723,15,48,2025-01-04
57,14,78,2025-10-02
3886,4,50,2025-02-12
2770,1,90,2025-09-30
2446,10,39,2025-12-03
4369,12,20,2025-10-22
3916,3,51,2025-04-05
2118,10,74,2025-09-11
4215,16,61,2025-07-21
791,5,49,2025-08-06
126,9,19,2025-05-04
2199,12,94,2025-07-21
4157,8,90,2025-12-30
1064,7,48,2025-06-26
1772,19,18,2025-06-25
4199,14,52,2025-12-21
4659,11,44,2025-10-26
3676,9,35,2025-07-07
2284,7,53,2025-06-26
458,6,60,2025-03-09
4779,1,16,2025-04-05
188,12,25,2025-09-09
2000,2,50,2025-11-22
3190,17,29,2025-11-25
4764,3,82,2025-04-14
1238,4,85,2025-10-13
4646,11,94,2025-02-21
621,15,57,2025-01-24
849,10,59,2025-11-21
3430,8,61,2025-01-07
2260,9,42,2025-07-29
4050,14,58,2025-03-20
3674,12,10,2025-11-13
3894,7,36,2025-02-24
4739,1,20,2025-01-14
3968,19,60,2025-07-27
2701,6,54,2025-07-09
2658,11,24,2025-04-30
4518,3,8,2025-09-16
2966,7,91,2025-12-07
1556,10,19,2025-07-29
4086,13,63,2025-08-21
1509,7,72,2025-10-02
3358,19,79,2025-07-04
3691,3,22,2025-04-16
2834,4,21,2025-02-05
3673,12,21,2025-05-01
4381,14,67,2025-03-04
3286,3,54,2025-06-23
1710,6,95,2025-04-28
1009,1,14,2025-04-03
3950,12,51,2025-10-27
4653,19,46,2025-04-27
322,1,17,2025-05-06
3247,7,82,2025-03-03
3193,15,89,2025-12-12
4404,4,46,2025-02-04
4679,2,56,2025-06-26
2617,5,21,2025-04-30
137,8,68,2025-01-15
2621,13,59,2025-01-03
2200,16,37,2025-11-07
4603,15,99,2025-10-18
3764,19,72,2025-03-14
2579,12,61,2025-10-17
4213,9,58,2025-12-10
1820,12,70,2025-02-10
545,4,92,2025-03-08
2109,17,73,2025-05-01
3787,4,64,2025-11-05
646,12,20,2025-06-18
1476,14,83,2025-08-24
1022,14,79,2025-02-23
223,11,15,2025-11-07
3883,2,96,2025-03-09
455,4,96,2025-09-22
4119,16,30,2025-11-27
218,6,57,2025-04-03
1623,15,29,2025-10-03
3642,9,72,2025-09-30
3650,18,82,2025-07-25
2124,7,22,2025-02-07
3729,2,85,2025-07-20
3974,15,30,2025-06-16
4208,3,22,2025-09-10
4029,16,50,2025-12-07
123,11,79,2025-01-16
56,5,87,2025-06-08
394,7,40,2025-04-12
267,19,91,2025-09-24
1649,13,99,2025-02-10
1636,5,85,2025-08-21
4569,12,29,2025-09-19
3582,15,51,2025-10-23
866,2,17,2025-10-27
4568,14,86,2025-06-24
4709,2,61,2025-01-20
2864,13,8,2025-05-29
596,10,56,2025-04-28
4684,8,28,2025-03-27
2477,16,74,2025-07-02
2154,11,55,2025-07-04
3212,16,79,2025-03-25
3593,14,64,2025-01-07
3988,11,48,2025-12-26
4689,6,31,2025-05-21
3351,1,36,2025-03-20
2750,9,72,2025-04-17
2157,2,42,2025-10-04
4439,13,98,2025-11-24
1664,19,18,2025-06-25
4895,3,6,2025-04-22
1405,14,82,2025-08-12
2229,10,12,2025-01-28
1438,15,68,2025-07-30
1037,12,18,2025-12-25
2579,18,77,2025-09-25
416,17,57,2025-04-23
2264,7,61,2025-04-05
4296,10,90,2025-11-08
1671,11,99,2025-11-07
385,4,96,2025-09-16
4858,16,20,2025-12-04
3388,9,67,2025-01-01
699,13,79,2025-02-09
1101,12,96,2025-09-14
853,19,28,2025-04-20
4047,10,76,2025-04-12
453,10,43,2025-02-03
1129,9,93,2025-06-11
2089,2,86,2025-02-08
3545,3,27,2025-03-06
659,2,7,2025-07-07
1225,15,85,2025-10-02
4069,1,52,2025-09-21
3353,11,8,2025-08-03
4400,18,40,2025-06-24
918,10,69,2025-06-07
1889,14,18,2025-01-05
762,12,36,2025-06-22
3906,8,49,2025-12-03
4606,5,93,2025-01-12
4635,9,57,2025-06-09
1444,6,60,2025-07-03
1244,11,66,2025-08-24
611,3,2,2025-10-27
263,6,43,2025-03-28
4776,17,16,2025-07-29
2114,14,2,2025-07-18
2816,1,45,2025-10-22
4024,18,63,2025-04-06
3653,11,47,2025-04-17
185,17,90,2025-12-26
2670,16,7,2025-04-08
847,18,71,2025-12-27
1854,17,47,2025-01-25
4397,17,90,2025-12-09
2687,12,7,2025-06-24
1023,13,70,2025-05-14
1334,15,96,2025-07-11
762,1,59,2025-12-15
3895,17,45,2025-03-17
3373,12,33,2025-12-08
3818,6,86,2025-11-01
2631,8,59,2025-02-13
4960,4,57,2025-12-23
3008,4,56,2025-11-30
1726,19,74,2025-02-22
3519,16,69,2025-05-05
813,2,47,2025-03-01
905,18,46,2025-04-08
2822,11,78,2025-08-13
1471,10,63,2025-02-21
536,6,77,2025-10-14
936,16,97,2025-10-01
699,12,85,2025-06-10
2444,14,73,2025-02-07
146,8,18,2025-02-28
1609,15,28,2025-08-21
2328,9,62,2025-09-11
2381,6,69,2025-02-08
335,4,18,2025-03-30
1616,5,59,2025-03-15
4077,13,94,2025-02-01
4002,10,66,2025-02-25
137,6,32,2025-12-22
2923,18,18,2025-02-28
3561,15,93,2025-01-21
1383,17,35,2025-03-20
2806,4,58,2025-07-23
692,6,13,2025-11-30
1807,10,7,2025-06-27
2358,16,36,2025-06-11
1943,8,66,2025-09-30
123,19,95,2025-07-31
4600,15,25,2025-06-13
3028,11,15,2025-09-26
379,2,80,2025-04-12
2201,19,20,2025-03-03
1370,15,59,2025-04-21
3489,11,87,2025-06-13
3618,7,81,2025-01-20
751,10,46,2025-12-04
4701,6,48,2025-04-14
3721,2,99,2025-09-23
4095,11,77,2025-08-27
4880,19,68,2025-11-13
3658,3,37,2025-12-09
2895,5,54,2025-12-13
4317,13,36,2025-12-15
658,13,90,2025-09-24
2015,4,44,2025-01-20
2700,7,34,2025-12-10
1702,1,18,2025-04-11
4297,13,4,2025-09-17
3625,7,98,2025-11-16
4826,16,1,2025-01-11
2046,8,88,2025-07-02
1356,3,75,2025-01-09
2964,14,38,2025-07-15
1410,11,26,2025-08-06
2348,16,41,2025-05-08
1833,7,57,2025-09-19
3370,17,19,2025-08-10
4933,15,83,2025-10-20
1935,17,69,2025-08-13
4995,19,82,2025-03-11
147,4,16,2025-12-17
3735,17,27,2025-10-13
2347,14,76,2025-02-26
693,3,69,2025-10-07
3586,6,80,2025-12-23
4854,4,12,2025-07-17
324,6,97,2025-10-22
4255,12,5,2025-06-21
482,14,18,2025-09-12
2752,1,38,2025-12-11
4522,4,66,2025-09-17
1933,1,37,2025-09-23
44,9,21,2025-09-06
959,12,50,2025-09-30
4175,10,14,2025-10-13
4752,19,75,2025-04-07
4935,15,94,2025-09-06
3613,14,65,2025-05-02
2423,9,10,2025-02-08
4386,10,91,2025-10-12
4859,12,23,2025-06-11
3129,19,65,2025-01-11
3087,13,84,2025-07-19
112,12,51,2025-02-02
3097,7,28,2025-04-19
4551,19,20,2025-04-22
2092,17,11,2025-01-24
1294,5,79,2025-08-15
2357,12,28,2025-10-22
3229,11,52,2025-02-01
4748,15,33,2025-12-04
2711,16,53,2025-02-06
2827,16,91,2025-03-09
381,10,17,2025-12-02
